Time,Lab_D_5_TEE,Lab_D_175_TEE,Lab_D_345_TEE,Lab_D_515_TEE,Pre_D_5_TEE,Pre_D_175_TEE,Pre_D_345_TEE,Pre_D_515_TEE,Err_D_5_TEE,Err_D_175_TEE,Err_D_345_TEE,Err_D_515_TEE
46.0,12.25185394,8.935928343,5.366325377000001,1.455442810000001,12.740142822265625,9.218538284301758,5.472392559051514,1.9648869037628174,-0.48828888226562484,-0.2826099413017573,-0.10606718205151289,-0.5094440937628164
87.0,23.48709106,17.137527463,10.370118717,2.5626586899999992,20.77973175048828,15.352311134338379,9.135891914367676,3.2054145336151123,2.7073593095117197,1.7852163286616225,1.2342268026323246,-0.6427558436151131
25.0,18.87798309,13.945579533,7.472991947000001,2.142088319999999,16.669668197631836,12.216553688049316,7.263007640838623,2.5712215900421143,2.208314892368165,1.7290258449506837,0.20998430616137753,-0.4291332700421151
89.0,21.8372345,15.764236453,9.421348567,2.523558050000002,20.70162010192871,15.292717933654785,9.100298881530762,3.19336199760437,1.13561439807129,0.4715185193452154,0.32104968546923907,-0.6698039476043682
72.0,36.70501709,26.998655703,14.416694637,4.55760956,32.68632125854492,24.436115264892578,14.56147575378418,5.0430498123168945,4.0186958314550765,2.5625404381074226,-0.14478111678417882,-0.48544025231689414
14.0,13.63754272,10.621888733,5.457742307,1.4553070099999983,14.177481651306152,10.31515121459961,6.1273627281188965,2.186671495437622,-0.5399389313061516,0.3067375184003911,-0.6696204211188963,-0.7313644854376238
52.0,22.56774902,17.087936403,8.795602417000001,2.6731491100000007,17.75251579284668,13.042710304260254,7.756442546844482,2.7383079528808594,4.815233227153321,4.045226098739747,1.039159870155519,-0.06515884288085871
34.0,17.91191101,12.969970703,7.449014287000001,2.165794380000001,21.147823333740234,15.633143424987793,9.303624153137207,3.262212038040161,-3.2359123237402336,-2.6631727219877934,-1.8546098661372064,-1.0964176580401603
59.0,29.37970886,22.063255313,11.087417607,3.476278690000001,26.069538116455078,19.38809585571289,11.54634952545166,4.0217180252075195,3.310170743544923,2.6751594572871085,-0.45893191845165937,-0.5454393352075186
32.0,19.42920685,14.055116273,7.983071897000002,2.206802370000002,21.284561157226562,15.737469673156738,9.365933418273926,3.283311128616333,-1.8553543072265626,-1.6823534001567388,-1.3828615212739237,-1.076508758616331
30.0,20.24650574,15.029907223,7.957322697000002,2.1409988400000017,22.000682830810547,16.283832550048828,9.69225788116455,3.393810510635376,-1.754177090810547,-1.2539253270488278,-1.7349351841645486,-1.2528116706353742
47.0,14.84952698,11.322975163,6.127357487000001,1.9598007200000005,13.625176429748535,9.893771171569824,5.875687122344971,2.101449489593506,1.224350550251465,1.4292039914301764,0.25167036465503045,-0.14164876959350536
12.0,12.34149933,9.759767153,4.617555237000001,1.1454986600000012,12.98343276977539,9.404154777526855,5.583255767822266,2.002427101135254,-0.6419334397753911,0.35561237547314484,-0.9657005308222644,-0.8569284411352527
45.0,12.64476776,9.208679203,5.698204037,1.4381408700000016,12.596712112426758,9.109108924865723,5.407034397125244,1.9427553415298462,0.048055647573242766,0.09957027813427821,0.29116963987475586,-0.5046144715298446
82.0,28.3203125,20.915031433,12.144906617,3.200531009999999,27.590980529785156,20.5488224029541,12.239639282226562,4.2565598487854,0.7293319702148438,0.3662090300458978,-0.09473266522656232,-1.0560288387854015
67.0,34.34371948,25.522367863,13.490676877000002,4.104750060000001,31.110057830810547,23.233566284179688,13.843206405639648,4.799745559692383,3.2336616491894503,2.288801578820312,-0.3525295286396464,-0.6949954996923822
62.0,31.41880035,23.609297183,12.205123897,3.709928900000001,29.348358154296875,21.889545440673828,13.040438652038574,4.527819633483887,2.0704421957031265,1.7197517423261708,-0.8353147550385742,-0.8178907334838859
73.0,37.11891174,27.627944943,14.537811277,4.31156159,32.30549621582031,24.145580291748047,14.38794231414795,4.9842681884765625,4.813415524179689,3.4823646512519524,0.1498689628520502,-0.6727065984765623
6.0,7.180213928,5.847930908,2.372605897000001,0.82778931,7.676729679107666,5.355526924133301,3.1652112007141113,1.1836727857589722,-0.4965157511076663,0.4924039838666996,-0.7926053037141103,-0.35588347575897217
51.0,21.23165131,15.975952153,7.964134217000002,2.530097959999999,16.999221801757812,12.467986106872559,7.413179874420166,2.622072458267212,4.232429508242188,3.507966046127441,0.5509543425798356,-0.09197449826721282
27.0,19.52062378,14.324188233,7.671220396999999,2.06565857,19.445388793945312,14.33427906036377,8.527854919433594,2.9995222091674805,0.07523498605468859,-0.010090827363770316,-0.8566345224335947,-0.9338636391674804
23.0,18.54896545,13.567924503,7.208824157000002,2.1640228300000004,15.759469985961914,11.522122383117676,6.848247051239014,2.4307758808135986,2.7894954640380867,2.0458021198823246,0.36057710576098856,-0.26675305081359824
20.0,16.84951782,12.633323673,6.592750547000001,1.730101019999999,15.476301193237305,11.30608081817627,6.719212055206299,2.38708233833313,1.3732166267626944,1.32724285482373,-0.12646150820629742,-0.6569813183331308
80.0,31.05831146,22.628784183,13.178689577,3.8463043200000016,29.30716896057129,21.85811996459961,13.021668434143066,4.521461486816406,1.7511424994287097,0.7706642184003911,0.1570211428569337,-0.6751571668164047
42.0,13.99898529,10.061264043,6.019592287,1.55462494,14.428045272827148,10.506318092346191,6.241540431976318,2.2253339290618896,-0.4290599828271482,-0.44505404934619186,-0.22194814497631832,-0.6707089890618896
68.0,34.97314453,26.009559633,13.646125797,4.205703740000001,31.06093978881836,23.196094512939453,13.820826530456543,4.7921648025512695,3.9122047411816396,2.8134651200605454,-0.17470073345654313,-0.586461062551269
22.0,17.72785187,13.531549073,7.055146787,2.146720890000001,17.42058563232422,12.789463996887207,7.605187892913818,2.6870901584625244,0.30726623767577976,0.7420850761127937,-0.5500411059138184,-0.5403692684625234
33.0,18.52621307,13.391494753,7.609231567000002,2.15911865,21.929351806640625,16.22941017150879,9.659753799438477,3.3828041553497314,-3.4031387366406243,-2.837915418508789,-2.0505222324384746,-1.2236855053497315
10.0,10.90703735,8.514404293,3.8612915070000007,1.216888430000001,11.968161582946777,8.629558563232422,5.120614528656006,1.845768928527832,-1.0611242329467778,-0.11515427023242175,-1.2593230216560052,-0.6288804985278311
18.0,16.2113739,12.028694153,6.176812747000001,1.539366149999999,16.336862564086914,11.962641716003418,7.111354351043701,2.519869089126587,-0.1254886640869124,0.06605243699658203,-0.9345416040436998,-0.9805029391265878
78.0,34.03282166,24.794578553,13.881683347,4.19902802,31.70175552368164,23.684978485107422,14.11283016204834,4.891077041625977,2.3310661363183627,1.109600067892579,-0.23114681504834067,-0.6920490216259765
63.0,32.20844269,24.013519283,12.628555297000002,3.9577484200000015,29.08944320678711,21.692014694213867,12.922455787658691,4.48785400390625,3.118999483212889,2.3215045887861336,-0.2939004906586895,-0.5301055839062485
28.0,19.85168457,14.953613283,7.949829097000002,2.164840699999999,19.954105377197266,14.72240161895752,8.759668350219727,3.0780184268951416,-0.10242080719726587,0.23121166404247973,-0.8098392532197245,-0.9131777268951424
48.0,16.95823669,12.830734253,6.7432952870000005,1.8435882600000009,14.074180603027344,10.236337661743164,6.0802903175354,2.170732021331787,2.884056086972656,2.594396591256835,0.6630049694646001,-0.32714376133178624
40.0,14.51982727,10.949952693,6.374223327000001,1.3305114799999984,15.107881546020508,11.024995803833008,6.551329612731934,2.3302340507507324,-0.5880542760205074,-0.07504311083300763,-0.17710628573193254,-0.999722570750734
76.0,38.09547424,27.825491333,15.035629277000002,4.449026490000001,34.16208267211914,25.561992645263672,15.2339506149292,5.270841598510742,3.933391567880861,2.263498687736327,-0.19832133792919748,-0.8218151085107408
21.0,17.41504669,12.700080873,6.657464597000001,2.0256042500000007,15.002968788146973,10.944952964782715,6.503522872924805,2.3140459060668945,2.412077901853028,1.7551279082172844,0.1539417240751959,-0.28844165606689387
88.0,22.80044556,16.335623173000002,10.027885437000002,2.8285980299999984,20.474149703979492,15.119169235229492,8.99664306640625,3.1582624912261963,2.326295856020508,1.2164539377705097,1.031242370593752,-0.32966446122619786
13.0,12.98414001,9.882926943,4.7912597670000014,1.671926880000001,13.413800239562988,9.732502937316895,5.779366970062256,2.068833827972412,-0.42966022956298744,0.15042400568310477,-0.9881072030622544,-0.3969069479724112
65.0,33.21361542,25.023596193,13.251168827,3.837721259999999,30.301864624023438,22.616985321044922,13.474931716918945,4.674997329711914,2.911750795976559,2.4066108719550776,-0.22376288991894455,-0.837276069711915
3.0,3.385543823,3.031730652,1.068933105000001,0.5025863699999995,3.916057586669922,2.486454486846924,1.4516944885253906,0.6035052537918091,-0.530513763669922,0.545276165153076,-0.3827613835253896,-0.10091888379180958
60.0,30.14741669,22.948265073,11.507034297,3.680364990000001,27.996753692626953,20.8583927154541,12.424542427062988,4.319192886352539,2.150662997373047,2.0898723575459,-0.9175081300629877,-0.638827896352538
49.0,18.42689514,14.045715333,7.132394407000001,2.175331119999999,14.499106407165527,10.56053352355957,6.273921489715576,2.2362987995147705,3.927788732834472,3.48518180944043,0.8584729172844252,-0.060967679514771334
66.0,34.02328491,25.637626643,13.420104977,3.88540497,30.631820678710938,22.86871337890625,13.625285148620605,4.72592830657959,3.3914642312890635,2.768913264093751,-0.2051801716206061,-0.8405233365795897
56.0,26.69429779,20.460128783,10.106086727,3.0488967900000006,24.46005630493164,18.16019058227539,10.812943458557129,3.7733068466186523,2.2342414850683596,2.2999382007246076,-0.7068567315571297,-0.7244100566186518
90.0,21.16407623,15.260696413000002,9.220941167,2.5836395299999992,18.38934326171875,13.528573036193848,8.04663372039795,2.8365719318389893,2.774732968281249,1.732123376806154,1.1743074466020502,-0.25293240183899
24.0,18.70427856,13.855934143,7.7045989970000015,2.289907840000001,15.747576713562012,11.513049125671387,6.842827320098877,2.428940773010254,2.956701846437987,2.342885017328614,0.8617716769011246,-0.13903293301025288
91.0,20.60222626,14.977455143,9.305953977,2.405302429999999,18.336040496826172,13.487909317016602,8.022345542907715,2.8283474445343018,2.2661857631738265,1.4895458259833987,1.2836084340922849,-0.42304501453430277
53.0,23.7121582,18.245561223,9.137017827,2.7332305900000016,19.565095901489258,14.425610542297363,8.582404136657715,3.017993450164795,4.147062298510743,3.819950680702636,0.5546136903422845,-0.28476286016479335
70.0,35.94779968,26.718139653,14.098167417,4.493713379999999,32.01865768432617,23.926748275756836,14.257237434387207,4.939992904663086,3.929141995673831,2.7913913772431656,-0.15907001738720616,-0.44627952466308685
69.0,35.68267822,26.564598083,13.939857487,4.052162169999999,31.48341941833496,23.518407821655273,14.01333999633789,4.8573760986328125,4.199258801665039,3.0461902613447265,-0.07348250933789124,-0.8052139286328135
83.0,27.2436142,20.276205443,11.880874637000002,3.3330917400000004,26.681419372558594,19.854904174804688,11.825169563293457,4.116164207458496,0.5621948274414059,0.421301268195311,0.05570507370654454,-0.7830724674584957
74.0,37.75215149,27.787208553,15.047073367,4.509107969999999,32.54710006713867,24.329904556274414,14.498038291931152,5.0215606689453125,5.205051422861331,3.457303996725585,0.5490350750688471,-0.5124526989453138
41.0,14.12582397,10.396003723,6.312370297000001,1.8081665099999995,14.604436874389648,10.640893936157227,6.321918964385986,2.252551555633545,-0.47861290438964765,-0.2448902131572268,-0.009548667385985254,-0.4443850456335454
58.0,28.42712402,21.867752073,10.851860047000002,3.4341812199999997,24.937854766845703,18.524715423583984,11.030665397644043,3.847043037414551,3.4892692531542977,3.343036649416014,-0.17880535064404057,-0.4128618174145511
36.0,16.59965515,12.006759643,7.044656367,2.099037169999999,17.7308292388916,13.026162147521973,7.7465596199035645,2.73496150970459,-1.1311740888916013,-1.0194025045219721,-0.7019032529035645,-0.6359243397045908
2.0,1.973152161,1.907348633,0.6227493290000012,0.4006790200000019,3.225257396697998,1.959860920906067,1.137650966644287,0.4972582459449768,-1.252105235697998,-0.05251228790606688,-0.5149016376442859,-0.09657922594497492
