Uint8_F_0,Uint8_F_1,Uint8_F_2,Uint8_F_3,Uint8_F_4,Uint8_F_5,Uint8_F_6
1.1318386,0.7340547,1.6685311,1.1570107,0.24305005,0.31149435,0.23092157
1.2292042,0.78015256,1.8184241,1.2444243,0.28204384,0.35551527,0.3298246
1.3234782,0.8249247,1.9595963,1.327797,0.3272651,0.4002498,0.3613558
1.3702114,0.8238311,2.0502963,1.3759723,0.33905348,0.38390237,0.35109395
1.4581208,0.8411913,2.1772342,1.4256525,0.33704793,0.3545052,0.33735907
1.5408492,0.88713616,2.3088598,1.4992303,0.37023827,0.37105504,0.3420365
1.5644252,0.9054333,2.3866243,1.5510741,0.39416003,0.32959002,0.31261116
1.576676,0.8883993,2.4509401,1.5761486,0.41514745,0.25641173,0.24210742
1.6139014,0.90679693,2.5275583,1.6296518,0.47003892,0.2565955,0.2181508
1.7170078,0.9746664,2.632287,1.7161304,0.52510834,0.33529437,0.28675443
1.822659,1.0470134,2.7500455,1.8019327,0.55721414,0.38855675,0.32356533
1.8684742,1.0810671,2.8267822,1.8527449,0.56395036,0.41241995,0.33023757
1.887753,1.0505663,2.806584,1.8039728,0.56429625,0.46201664,0.35675475
1.8960695,1.0137745,2.691879,1.7185917,0.57135504,0.4858592,0.3789557
1.8551258,0.9754611,2.5624928,1.6383617,0.5689051,0.4623307,0.3058146
1.8184673,0.96267235,2.4499264,1.5791359,0.545356,0.49720752,0.34038723
1.846594,0.9981946,2.3858547,1.5512643,0.5374257,0.55523086,0.39121914
1.8234147,1.018565,2.2965245,1.5092775,0.5471087,0.5429135,0.37983882
1.7809174,1.0236013,2.184516,1.4652927,0.54102445,0.5555094,0.40205997
1.7765106,1.0381832,2.117311,1.4459292,0.560046,0.5867204,0.41610128
1.7895885,1.0726154,2.0756269,1.4369193,0.6333753,0.565409,0.40053686
1.7314703,1.0696825,2.0126216,1.4030162,0.64882576,0.53091866,0.38847044
1.6788871,1.0487034,1.9507508,1.3608307,0.63437325,0.519016,0.37345517
1.6127584,1.0116032,1.8667827,1.3187183,0.6090903,0.46193236,0.33807775
1.5327328,0.95329696,1.7666038,1.2516261,0.57238907,0.4013716,0.27714095
1.5486131,0.98739386,1.749333,1.2575141,0.6078502,0.42262855,0.30774665
1.5362344,0.99869245,1.710796,1.2511206,0.62660724,0.4141895,0.27835742
1.4377588,0.9868129,1.6742226,1.2687398,0.6218991,0.35254788,0.11243282
1.4320483,1.0320777,1.7720968,1.3504932,0.6236186,0.3325175,0.08177423
1.5554403,1.107176,1.9481246,1.4571301,0.6335875,0.3675541,0.12231715
1.6809922,1.238643,2.1576984,1.5930066,0.6788279,0.43026888,0.13871498
1.7781646,1.3146662,2.359451,1.7073143,0.70477825,0.47573113,0.18278854
1.8417284,1.3284439,2.4925547,1.7811669,0.7071695,0.48930264,0.16344981
1.9006993,1.3604355,2.6148076,1.8637648,0.72879136,0.4856525,0.1406155
1.9809701,1.403897,2.758839,1.9555318,0.7609083,0.49720564,0.16198914
2.077559,1.4610238,2.8992026,2.0388615,0.7921456,0.53507894,0.21169218
2.1705112,1.5217491,3.0147426,2.1225803,0.793201,0.60171664,0.29792538
2.2102246,1.5209887,3.0999389,2.1969,0.7711426,0.6257338,0.35157466
2.2139845,1.5158893,3.161483,2.2488894,0.769712,0.6066934,0.3520473
2.2645159,1.5553089,3.2455633,2.315199,0.7926755,0.6033581,0.31814888
2.3566506,1.6189016,3.3872876,2.405042,0.8231849,0.5812649,0.31452987
2.412042,1.6590149,3.5249755,2.4481068,0.84478384,0.56595665,0.30909815
2.3754773,1.5683801,3.4545507,2.340735,0.78611994,0.5383941,0.2556276
2.3166647,1.4831942,3.2533736,2.2037323,0.7499854,0.5109632,0.24498616
2.2946634,1.473225,3.1231668,2.1092567,0.7714639,0.52723897,0.2796966
2.2333877,1.4681802,2.9953423,2.0284588,0.7761693,0.5270182,0.25767314
2.2316825,1.4933558,2.9214165,1.9978055,0.795009,0.54804343,0.2216968
2.2406485,1.5035797,2.8471117,1.9532753,0.80041987,0.5533346,0.20021053
2.2100399,1.5011163,2.7482255,1.9089714,0.8116101,0.54065233,0.22858863
2.1693153,1.507825,2.6583006,1.8806144,0.8121964,0.53398013,0.25214916
2.1444275,1.5170685,2.5890768,1.8469075,0.80039567,0.5553145,0.26683614
2.1062953,1.5015647,2.5238526,1.8016796,0.7965794,0.5835931,0.29263538
2.0536149,1.4842727,2.4458814,1.7485049,0.79145473,0.577971,0.29516548
2.0009289,1.4631461,2.336125,1.695917,0.7797607,0.5604851,0.26992708
1.9573812,1.4517323,2.2437623,1.6485094,0.7815647,0.5376964,0.23968637
1.9746159,1.4688113,2.1990914,1.6224834,0.79731953,0.514111,0.21717949
1.9817735,1.4720823,2.1848218,1.6115916,0.8031628,0.5049448,0.19590546
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
